,v_fabricante,v_producto,v_cadena_busqueda,aux.matches.ip_str,aux.matches.isp,aux.matches.location.city,aux.matches.location.longitude,aux.matches.location.latitude,aux.matches.location.country_name,aux.matches.location.country_code3,aux.matches.os,aux.matches.org,aux.matches.asn
98,ACKP,Generic,AKCP Embedded Web Server,128.39.64.41,UNINETT AS,Kristiansand,7.9974,58.1496,Norway,NOR,Windows 7 or 8,UNINETT AS,AS224
99,ACKP,Generic,AKCP Embedded Web Server,203.237.216.19,Korean Education Network,NA,126.9741,37.5112,Korea, Republic of,KOR,NA,Dankook University,AS9637
100,ACKP,Generic,AKCP Embedded Web Server,204.77.164.124,Great Plains Communications,Columbus,-97.347,41.512,United States,USA,NA,Great Plains Communications,AS13807
101,ACKP,Generic,AKCP Embedded Web Server,72.46.218.234,Ets Telephone Company,Sugar Land,-95.6335,29.5557,United States,USA,NA,enTouch,AS12177
102,ACKP,Generic,AKCP Embedded Web Server,72.48.117.4,Grande Communications,San Marcos,-97.9414,29.8833,United States,USA,NA,Grande Communications,AS7459
103,ACKP,Generic,AKCP Embedded Web Server,128.114.49.218,University of California, Santa Cruz,Santa Cruz,-122.0603,36.9899,United States,USA,NA,University of California, Santa Cruz,AS5739
104,ACKP,Generic,AKCP Embedded Web Server,129.7.180.77,University of Houston,Houston,-95.4342,29.834,United States,USA,NA,University of Houston,AS7276
105,ACKP,Generic,AKCP Embedded Web Server,131.123.35.239,Kent State University,Kent,-81.3579,41.1537,United States,USA,NA,Kent State University,AS11050
106,ACKP,Generic,AKCP Embedded Web Server,131.155.68.12,Technische Universiteit Eindhoven,Eindhoven,5.4667,51.45,Netherlands,NLD,NA,Technische Universiteit Eindhoven,AS1161
107,ACKP,Generic,AKCP Embedded Web Server,193.48.106.60,Renater,NA,2.33869999999999,48.8582,France,FRA,NA,Renater,AS2200
108,ACKP,Generic,AKCP Embedded Web Server,27.145.90.233,True Internet,Bangkok,100.531,13.7625,Thailand,THA,NA,True Internet,AS17552
109,ACKP,Generic,AKCP Embedded Web Server,175.200.81.19,Korea Telecom,Busan,129.0403,35.1028,Korea, Republic of,KOR,NA,Korea Telecom,AS4766
110,ACKP,Generic,AKCP Embedded Web Server,59.125.74.159,HiNet,Changhua,120.5384,24.074,Taiwan,TWN,NA,HiNet,AS3462
111,ACKP,Generic,AKCP Embedded Web Server,158.136.4.48,Plymouth State College,Plymouth,-71.7163,43.7173,United States,USA,NA,Plymouth State College,AS27405
112,ACKP,Generic,AKCP Embedded Web Server,59.125.27.11,HiNet,Beinan,121.1228,22.781,Taiwan,TWN,NA,HiNet,AS3462
